imdbId,Title,Genre
114709,Toy Story (1995),Animation
114709,Toy Story (1995),Adventure
114709,Toy Story (1995),Comedy
113497,Jumanji (1995),Action
113497,Jumanji (1995),Adventure
113497,Jumanji (1995),Family
113228,Grumpier Old Men (1995),Comedy
113228,Grumpier Old Men (1995),Romance
114885,Waiting to Exhale (1995),Comedy
114885,Waiting to Exhale (1995),Drama
114885,Waiting to Exhale (1995),Romance
113041,Father of the Bride Part II (1995),Comedy
113041,Father of the Bride Part II (1995),Family
113041,Father of the Bride Part II (1995),Romance
113277,Heat (1995),Action
113277,Heat (1995),Crime
113277,Heat (1995),Drama
114319,Sabrina (1995),Comedy
114319,Sabrina (1995),Drama
112302,Tom and Huck (1995),Adventure
112302,Tom and Huck (1995),Comedy
112302,Tom and Huck (1995),Drama
114576,Sudden Death (1995),Action
114576,Sudden Death (1995),Crime
114576,Sudden Death (1995),Thriller
113189,GoldenEye (1995),Action
113189,GoldenEye (1995),Adventure
113189,GoldenEye (1995),Thriller
112346,The American President (1995),Comedy
112346,The American President (1995),Drama
112346,The American President (1995),Romance
112896,Dracula: Dead and Loving It (1995),Comedy
112896,Dracula: Dead and Loving It (1995),Fantasy
112896,Dracula: Dead and Loving It (1995),Horror
112453,Balto (1995),Animation
112453,Balto (1995),Adventure
112453,Balto (1995),Drama
113987,Nixon (1995),Biography
113987,Nixon (1995),Drama
113987,Nixon (1995),History
112760,Cutthroat Island (1995),Action
112760,Cutthroat Island (1995),Adventure
112760,Cutthroat Island (1995),Comedy
112641,Casino (1995),Crime
112641,Casino (1995),Drama
114388,Sense and Sensibility (1995),Drama
114388,Sense and Sensibility (1995),Romance
113101,Four Rooms (1995),Comedy
112281,Ace Ventura: When Nature Calls (1995),Adventure
112281,Ace Ventura: When Nature Calls (1995),Comedy
112281,Ace Ventura: When Nature Calls (1995),Crime
113845,Money Train (1995),Action
113845,Money Train (1995),Comedy
113845,Money Train (1995),Crime
113161,Get Shorty (1995),Comedy
113161,Get Shorty (1995),Crime
113161,Get Shorty (1995),Thriller
112722,Copycat (1995),Crime
112722,Copycat (1995),Drama
112722,Copycat (1995),Mystery
112401,Assassins (1995),Action
112401,Assassins (1995),Crime
112401,Assassins (1995),Thriller
114168,Powder (1995),Drama
114168,Powder (1995),Fantasy
114168,Powder (1995),Mystery
113627,Leaving Las Vegas (1995),Drama
113627,Leaving Las Vegas (1995),Romance
114057,Othello (1995),Drama
114057,Othello (1995),Romance
114011,Now and Then (1995),Comedy
114011,Now and Then (1995),Drama
114011,Now and Then (1995),Romance
114117,Persuasion,Drama
112682,The City of Lost Children (1995),Fantasy
112682,The City of Lost Children (1995),Sci-Fi
115012,"Yao a yao, yao dao wai po qiao (1995)",Crime
115012,"Yao a yao, yao dao wai po qiao (1995)",Drama
115012,"Yao a yao, yao dao wai po qiao (1995)",Romance
112792,Dangerous Minds (1995),Biography
112792,Dangerous Minds (1995),Drama
114746,Twelve Monkeys (1995),Mystery
114746,Twelve Monkeys (1995),Sci-Fi
114746,Twelve Monkeys (1995),Thriller
114952,Wings of Courage (1995),Adventure
114952,Wings of Courage (1995),Romance
112431,Babe (1995),Comedy
112431,Babe (1995),Drama
112431,Babe (1995),Family
112637,Carrington (1995),Biography
112637,Carrington (1995),Drama
112637,Carrington (1995),Romance
112818,Dead Man Walking (1995),Crime
112818,Dead Man Walking (1995),Drama
112286,Across the Sea of Time (1995),Adventure
112286,Across the Sea of Time (1995),Drama
112286,Across the Sea of Time (1995),Family
113442,It Takes Two (1995),Comedy
113442,It Takes Two (1995),Family
113442,It Takes Two (1995),Romance
112697,Clueless (1995),Comedy
112697,Clueless (1995),Romance
112749,"Cry, the Beloved Country (1995)",Drama
112749,"Cry, the Beloved Country (1995)",Thriller
114279,Richard III (1995),Drama
